Theme,Sub Theme,Feature Name,Co-ordinates,,IMAGEURL
Place of Worship,Church,St Francis Church,"-37.8118847831837, 144.962422614541",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKjBOCJOclQMoeLB7NfB2ul5t_yJrzyoCsYMlZykQMX2ZaokV-rbYvfJ7iFnM&amp;s
Place of Worship,Church,St James Church,"-37.8101281201969, 144.952468571683",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRu2gX4Gwj0dBpqWHfAZlPAloDuncRQ-_IylPib2EkJgMdmp25vDT0oX8rCRg&amp;s
Place of Worship,Church,St Mary's Anglican Church,"-37.8031663672997, 144.953761537074",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuQevnkNIdpuVXc-_oY94H_xV57VIU69lL65rtpkxGxOejwM83pBcaoFtfgPM&amp;s
Place of Worship,Church,Scots Church,"-37.8145687802664, 144.96855105335",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNnBrCUDEy6bpa4i5lVFtGcnFxuOvjd3AKv559R7eqb6UBLazhSQW4GAf-tA&amp;s
Place of Worship,Church,St Michael's Uniting Church,"-37.8143851324913, 144.969174036096",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxkrA1EbZf9fYu1pFzOo1_76xX8fRaFA8lZdhiKvXH8Y3M4QR8RQX19RaH7A&amp;s
Place of Worship,Church,Greek Orthodox Church,"-37.8088064667555, 144.978259089269",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuhEf1VFOwSMG-xk3JpkAOtIRpAC4RhE0k2qXmt30X9hZgd6AjcaydT3ESj78&amp;s
Place of Worship,Church,North Melbourne Uniting,"-37.8035538471344, 144.947671538375",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7_aczHiKeAIcXY3I4Abiyi7E1XM3_ZVtVwGxEeaetQC4M5O9XZ1xTWbKclJQ&amp;s
Place of Worship,Church,South Yarra Presbyterian Church,"-37.8407473645397, 144.98562699348",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwdnOmUMh88hRa36L-koGNWd1F_T69VzK91-zHTZZ8chD2h0OqCxnNgnQEgoo&amp;s
Place of Worship,Synagogue,East Melbourne Synagogue,"-37.809113728917, 144.97422190954",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKPl9x59XUvWjacvVBk02ErZm900pC3pdB7enX-J_xPjj1YwIsv0h4sIrlYg&amp;s
Transport,Transport Terminal,Port of Melbourne,"-37.8137384362671, 144.91753432375",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyC6FmwXpI6IudGQdR-PdBGLOoJ60u83w86Qpj5DuMGv2F9Ty34opTT4AOBP0&amp;s
Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,"-37.7840864379557, 144.961967841559",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWgUj740Kf8Y-2wyM4BC1R50hAolqsO6c0NpROlMNwwmMlwmgKkmpsAthFhBw&amp;s
Education Centre,Primary Schools,Carlton Gardens Primary School,"-37.8020953835112, 144.969406272035",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS44PIEXRXg5JpqGfTLShl-QQfEkvLQ-OScRHTjl_lF25BRQMQC6ghjxvdrxQ&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,"-37.8017690847403, 144.971997551189",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPRXMJ3EpvPrQEAvE7OLrLLuzaeDnbAbXve0PYzeqzsaVC_DcoaSKEADShGkc&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,"-37.8255239795833, 144.974107925144",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ92HHOMX9k29MRB3yQb2r9ahnyigdlBBUf2Q-MNjCw-twgj1j_f4W79x-FAA&amp;s
Education Centre,Secondary Schools,Melbourne Grammar School,"-37.8342561018747, 144.976285045233",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzju4xpkU9PrpAXvOWAX_-ZJYA2azC3paUkHVTdgFt06P0enoszGzrThA6SjI&amp;s
Place Of Assembly,Theatre Live,FairFax Studio,"-37.8216684581887, 144.968836241692",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRI28bMjTTImrFr35b0UwsY4Nw17CjaoZckktKdjyyCEibgZ_zLEtfp8Sa8w&amp;s
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,"-37.7908082646624, 144.912142987372",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6k9NOa72fCPhDMCBh8RqtMhN3NNxjm28oTLV_KKlaimZh2xIpXC5b4baD9Q&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,"-37.8143993575938, 144.975952335785",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTc5X22TGXrf5gyvPOtN5vRu2sOWZBv2Qp01Ls6GrHX4c13fC08W-uzT2LWoc&amp;s
Mixed Use,Retail/Office,Treasury Reserve,"-37.8129178793082, 144.975236759799",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWREpKUtHKOR-E4tQElaLwzwrbTaCtJfKIvvFGRMkK3ZqBHK1qAFoBefOVQw&amp;s
Health Services,Private Hospital,Epworth Freemasons Hospital : Medical Centre,"-37.8093444587231, 144.982336768182",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKCdGBtzD00hMGQ-5SmREiHnnQCnF711B3mq6-irOpetA4qgKBAZ7K2FP3k-c&amp;s
Community Use,Government Building,Melbourne Magistrates Court,"-37.8136147671606, 144.956846193891",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNHsNLvX0AH7hBlwyzKliG9NDx8A5nLpk8jMHMO-z2SSRxyWYmofG401vxpA&amp;s
Transport,Railway Station,Flagstaff Railway Station,"-37.8122356514626, 144.956318211113",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj0GqsDarY0O8EQE9hn6XfhYkKbX33SxujR-KfSl_lwws4X83Pb-GOnHCXcWs&amp;s
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),"-37.8194921618419, 144.983402879078",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCOx1UloV8HorHIs-Jk2VO8lEDFnD0z5OikgTXO3d_eVGt0vodSMiPHNCoesQ&amp;s
Vacant Land,Vacant Land - Undeveloped Site,Melbourne International Karting Complex,"-37.8310746380616, 144.913822928701",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTU4MN4joSLwli89KCpGRUxHL8fEixwtkS3Y5hkjaCXyneYk812FHialGGEow&amp;s
